,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
8,MEM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,NOP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,DEN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,LAC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,GSW,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,DAL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,SAS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,LAL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,MIN,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,PHO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,OKC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,POR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,SAC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,UTA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
